CountryName,countrycode,weights,GHG_unit,GHG
Syrian Arab Republic,SYR,0.000364985268327,58688010,0.05868801
Tajikistan,TJK,0.000107397947837,21479352,0.021479352
Tanzania,TZA,0.000512720423696,106570000,0.10657
Thailand,THA,0.005026516561225,281267000,0.281267
Timor-Leste,TLS,1.82492132095668E-05,3759504,0.003759504
Togo,TGO,7.5051351211751E-05,7207506.5,0.0072075065
Tonga,TON,7.15966469315773E-06,190241.47,0.00019024147
Trinidad and Tobago,TTO,0.000295337209043,20588392,0.020588392
Tunisia,TUN,0.000579307175387,22089388,0.022089388
Turkiye,TUR,0.00989474883657,231175440,0.23117544
Turkmenistan,TKM,0.000350823423524,83044950,0.08304495
Turks and Caicos Islands,TCA,4.18025423490031E-06,4865.469,4.865469E-06
Tuvalu,TUV,5.56119332855098E-07,6436.324,6.436324E-06
Uganda,UGA,0.000331687898753,45660700,0.0456607
Ukraine,UKR,0.001985817776006,917532800,0.9175328
United Arab Emirates,ARE,0.004354951562074,68704030,0.06870403
United Kingdom,GBR,0.044068477265395,762011300,0.7620113
United States,USA,0.265258933138555,6060157400,6.0601574
Uruguay,URY,0.000741701388464,26504462,0.026504462
Uzbekistan,UZB,0.000926900211862,155588080,0.15558808
Vanuatu,VUT,1.04063790301486E-05,1759299.4,0.0017592994
"Venezuela, RB",VEN,0,214117010,0.21411701
Viet Nam,VNM,0.002489678824178,114521790,0.11452179
"Yemen, Rep.",YEM,0.000643169432594,19994908,0.019994908
Zambia,ZMB,0.000226089802073,65974890,0.06597489
Zimbabwe,ZWE,0.00032950126494,47933020,0.04793302
